,job name,company name,place,applicants,posted at,job type,num emp,hiring person,description,pay,sector
0,"Computer Vision Engineer (Intern, Entry level, and Senior level)",Beltech AI,"Bangalore Urban, Karnataka, India",,3 days ago,Full-time,11-50 employees,Dr. Sathisha Basavaraju is hiring for this job,"About the job
Responsibilities: Architect, Design and Build AI based computer vision algorithms.

Must Have: Experience in Python, Experience in one of the deep learning frameworks: PyTorch or TensorFlow, Experience in one of the following: Vehicle Re-Identification, Person Re-identification, Action/Activity Recognition, Pose estimation, Face Recognition System, Object Detection and Tracking.

Nice to Have: Experience in building deployable pipeline on AWS and Edge devices


Please apply here: https://www.beltech.ai/careers/",,
1,Deep Learning for Computer Vision,Infilect,"Bangalore Urban, Karnataka, India",,3 weeks ago,Full-time,11-50 employees,1 school alumni,"About the job
*Important*:

This position is *not* for fresh engineering (BE/BTech) graduates. We are looking for candidates with engineering and deep learning experience of at least 1 year in the industry. Once you apply, we will share a coding assignment with you. Only those who pass the coding test will be considered for the subsequent phone/on-site interviews.

*About the company*:

https://infilect.com is a customer first product company with technology, engineering, machine learning as its core strength. We develop products that introduce or optimize congitive processes in advertising, media, and retail domain.

We are an early stage start-up (and not a late stage start-up such as Flipkart/Ola). This implies high risk high reward environment, doing grunt work at a few times, having ownership and responsibility, working on weekends when needed, and do everything (data engineering, tools development) that should be done to get the task done on time.

*Salary*:

In the range of 150K to 200K INR per month plus potential ESOPs

*Who is eligible*

Hands-on experience in deep/machine learning for computer vision of 1+ years (extensive experience OpenCV, PyTorch, Tensorflow)
Hands-on experience in Python with 1+ years of in-depth system building experience
Smart programmers with strong analytical skills

Day-to-day responsibilities of the above job include:

1. Reading research papers and implementing state-of-the-art techniques
2. Rapidly extending publicly available code modules to work on custom problems
3. Software development of machine learning back-end
4. Rapid experimentation, analysis, and deployment of machine/deep learning models
5. Training and testing deep learning models at scale

You will work on cutting-edge technology in object detection, object tracking, OCR in natural scenes, image classification, video analysis, and many more exciting techniques that form the basis of AI (artificial intelligence).

We have a great and open culture where you can have immense learning, get exposed to product development and customer growth, and get high rewards over time. We warmly welcome candidates who have the right attitude and the right skill sets to join our core team.",,
2,Data Scientist: Artificial Intelligence,IBM,"Bengaluru, Karnataka, India",,4 days ago,Full-time,"10,001+ employees · Information Technology & Services",2 connections · 1 company alumni · 38 school alumni,"About the job
Introduction

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Who you are
As Data Scientist, you will develop, maintain, evaluate and test big data solutions. You will be involved in the design of data solutions using Artificial Intelligence based technologies like H2O, Tensorflow.
Skills in designing algorithms, implementing pipelines, validating model performance, and developing interfaces such as APIs. Expertise in working with IBM Watson services using Python Also experience with Spark, Hadoop, SQL (HANA)
What you will do
You are responsible for designing algorithms and implementation including loading from disparate data sets, pre-processing using Hive and Pig.
Scope and deliver solutions with the ability to design solutions independently based on high-level architecture.
Maintain the production systems like Kafka, Hadoop, Cassandra, Elasticsearch
How we’ll help you grow:
You’ll have access to all the technical and management training courses that will help you
You’ll learn directly from guide developers in the field; our team leads love to mentor
You have the opportunity to work in many different areas to identify what really excites you

Required Technical and Professional Expertise

4 to 6 years of experience in IT Industry
Technology expertise of solutioning in Hadoop, Hive, Spark / PySpark, SQL, Oozie along Data Modelling in Hive
Experience in programming Languages- Java / Python / Scala and ability to demonstrate micro / macro designing and familiar with Unix Commands and basic work experience in Unix Shell Scripting
Working knowledge in one NoSQL database like MongoDB/Cassandra/HBase/Couchbase
Hands-on experience of various Big data architectures like Lambda / kappa with usage of automation / scheduling tool like Oozie or Cronacle or any other technology
Proven ability in solutioning covering data ingestion, data cleansing, ETL, data mart creation and exposing data for consumers

Preferred Technical And Professional Expertise

Hands-on 2 years’ experience in real time Big Data projects is preferred
Working knowledge with one cluster manager like Cloudera Manager or Ambari
Ambitious individual who can work under their own direction towards agreed targets/goals.
Ability to manage change and be open to it good time management and an ability to work under stress
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Maintain technical knowledge by attending educational workshops, reviewing publications

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM

What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",,
3,Data Engineer: Machine Learning,IBM,"Bengaluru, Karnataka, India",,4 days ago,Full-time,"10,001+ employees · Information Technology & Services",2 connections · 1 company alumni · 38 school alumni,"About the job
Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.
Responsibilities:
Data expertise to manipulate and integrate big data and different data types such as Videos, Images, Documents (pdfs, xls, csv) and other structured data bases Python Skills for Data Handling
Define problems and opportunities in a complex business area
Develop advanced analytics products
Create and develop end-to-end data driven solutions to support client's business units
Measure the impact of the products developed
Extract data from multiple varied sources and integrate it for analytics and application development

Required Technical and Professional Expertise

Minimum 4+ years of experience in Machine learning
Expertise in Data Interpretation and Visualization skills
Experience with AWS cloud services: AWS-Sagemaker, EC2, RDS
Solid understanding of feature extraction, feature selection techniques and transfer learning
Working knowledge of building deep learning NLP Models for text classification
Proficient in AWS cloud platforms, exposure in fetching data from various sources

Preferred Technical And Professional Expertise

You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Up-to-date technical knowledge by attending educational workshops, reviewing publications

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM

What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",,
4,Principal Data Scientist,PromptCloud,"Bengaluru, Karnataka, India",,3 days ago,Full-time,51-200 employees,See recent hiring trends for PromptCloud. Try Premium for free,"About the job
Company Description

About Us:

PromptCloud is a Data as a Service company that helps businesses harness the power of data. Our technology fuels some of the most interesting big data projects in the world. We are a small bunch of people working towards shaping the imminent data-driven future by solving some of its fundamental and toughest challenges.

The PromptCloud experience is about striving to become the best version of ourselves holistically, an experience that lasts a lifetime. We tend to have clear growth paths for every role and level in the org so the learning never stops. We believe in a work-life blend, and hence encourage responsible flexibility, which is particularly important in a fully remote setup we have. We trust our people with the impact they can create, and let them choose how they want to do so. We are on a mission to put reliable data at the heart of every business to fuel success and intend to transform the lives we touch (of our customers and our people) while on this journey.

Job Description

Responsibilities :
Work closely with product teams to implement new products and features using ML.
Develop highly scalable classifiers and tools leveraging machine learning, deep learning, and rules-based models.
Own and drive all ML projects.
Inculcate ML culture within an organization.
Qualifications

Requirements
4 to 5 years of relevant work experience.
Python programming skill is a must. Strong coding capabilities in TensorFlow or PyTorch.
Good understanding of Machine Learning algorithms (Regression algorithms, Decision Trees), Distributions, and Deep Learning algorithms.
Any prior research publication is a plus point.
Strong programming skills with proven experience crafting, prototyping, and delivering advanced algorithmic solutions.
A passion for making ML methods robust and scalable.
Experience in extraction from structured/unstructured text (knowledge or statistics-based).
Experience in one or more of the following areas: entity/relation extraction, normalization, text. summarization, semantic search, word/paragraph/document embedding, ranking, etc.
NLP algorithm implementation experience as well as the ability to modify standard algorithms (e.g. change objectives, work out the math and implement).
Experience in deep learning approaches to NLP: word/paragraph embedding representation learning, text/sentiment classification, word2vec, sentiment analysis.
Experience with neural networks and deep learning frameworks (such as Keras, TensorFlow, torch)
Familiarity with database queries and data analysis processes (SQL, Python).
Good in natural language processing, information extraction, and text mining algorithms, tech stacks, and experience with datasets - benchmark and the real world.
Track record of leading, building, and deploying production NLP systems on large-scale text data.
Should be very good at Natural language processing
Must have a transformer, BERT understanding. Should be able to fine-tune Transformer, BERT architecture for sub-level tasks
Additional Information

Perks
An environment where each employee is celebrated.
A one-time home office setup allowance, monthly allowances for internet bills, child care allowance for new mothers/single parents.
Half-yearly performance appraisals
Flexible working hours
Competitive salary",,
5,Data Scientist: Advanced Analytics,IBM,"Bengaluru, Karnataka, India",,4 days ago,Full-time,"10,001+ employees · Information Technology & Services",2 connections · 1 company alumni · 38 school alumni,"About the job
Introduction

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Work with IBM Q Start team on active exploratory research engagements to prepare for future use case commercialization within specific industry
Engage and educate client data science teams to define promising areas for quantum exploration
Implement quantum approaches, which includes data pre-/post-processing, running numerics and visualizing data
Collaborate with industry and solutioning experts to design and shape experiments to demonstrate quantum-enabled advantage
Define best practices related to information architecture, including collection, integration, organization, analysis and visualization of data for quantum-enabled impact
Engage in practice development initiatives focused on building employee knowledge and skills in specific areas of expertise through coaching and development of training course material

Required Technical and Professional Expertise

PhD/Masters in STEM-related fields with knowledge in Quantum Computing.
5+ years of data engineering and data science experience
2+ years of consulting experience within specific industries with strong domain expertise and business acumen
Proficiency with classical approaches to machine learning and linear algebra, including Support Vector Machine (SVM) for linear categorization and Singular Value Decomposition (SVD) to reduce dimensionality of data
Familiar with Qiskit software, including Qiskit Aqua for domain applications and Qiskit Terra for quantum circuit design and optimization
Excellent ideation, facilitation and communications skills
Detail-oriented team player with strong interpersonal skills and ability to take a leadership role when necessary
Willingness to travel globally up to 40% once we return to a travel-safe environment.
English: Fluent

Preferred Technical And Professional Expertise

2+ years of experience in at least one of the industries, with knowledge of industry trends, R&D areas, and computationally intensive processes (e.g. optimization)
Familiarity with Qiskit

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM

What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",,
6,Data Scientist: Artificial Intelligence,IBM,"Bengaluru, Karnataka, India",,,Full-time,"10,001+ employees · Information Technology & Services",2 connections · 1 company alumni · 38 school alumni,"About the job
Introduction

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

As an Advanced Analytics Consultant, you are responsible to understand ITID/Telecoms/Contact Centre strategy and vision.

Responsibilities:

Interact with business stakeholders, quickly understand business requirements and translate these into configurations in the Genesys Cloud software
Detailed expertise in ways of working with configuration tasks.
Manage IVR and contact center infrastructure - Genesys
Conduct regular maintenance of Telecommunication systems and other contact center infrastructure equipment's.
Manage disaster recovery of Telecommunication infrastructure and installations.
Manage capacity planning for all telephony services and equipment and setting up Telecommunication infrastructure.
Regularly review open issues and action items with the internal and external parties.
Coordinates and supports field personnel regarding installation of hardware/software on various platforms.

Required Technical and Professional Expertise

Minimum 4+ years of experience in IT Industry
Working knowledge and deep understanding of all major aspects of the Contact Centre software Genesys Cloud, including: Base UI and user access/rights, Telephony, Architect Flows and routing, Agent scripting, Recordings & Quality Management, Monitoring & Analytics, Integrations (esp. DialogFlow) and Altocloud
Genesys Cloud Certification is nice to have
Proficient with GAX and GA building objects and integrations
Possess knowledge on use of GMS and LFMT portals on genesys

Preferred Technical And Professional Expertise

You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed

Up-to-date technical knowledge by attending educational workshops, reviewing publications

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",,
7,Data Scientist,SplashLearn,"Gurugram, Haryana, India",,3 days ago,Full-time · Mid-Senior level,201-500 employees · E-learning,See how you compare to 104 applicants. Try Premium for free,"About the job
About SplashLearn
At SplashLearn, our vision is to build the most engaging learning experiences that transform children into lifelong learners. We are the world's first scientifically-designed, game-based curriculum spanning Kindergarten to Grade 5.
Loved by a whopping 33 million learners across 150+ countries and trusted by over 440k teachers and 180k schools, SplashLearn is the fastest growing elementary math program in the US. If those numbers seem too abstract, consider this: Every 1 in 3 schools and 1 in 7 elementary school children in the US love SplashLearn!

Backed by Accel Partners and many other prominent investors, SplashLearn has bagged many prestigious edtech awards such as the Stevie Award for the best edtech product, Tabby Award for best business, Parents Choice Award and Best App Ever Award.

We are looking for data scientists who help us explore and derive insights hidden in vast amounts of data, and help us make data-driven decisions to improve and enhance our products. Your primary focus will be in doing statistical analysis, applying machine learning techniques and building high quality prediction systems in and around our products.

Roles and Responsibilities
Work with large data sets and apply advanced analytical methods as needed, deriving valuable insights from data to drive business and product outcomes
Develop deep understanding of the products and collected data points, enhance data collection procedures to include information that is relevant for building analytic systems
Process, cleanse, and verify the integrity of data used for analysis, build analysis pipelines to provide insights at scale.
Present analysis and insights to stakeholders and advocate for positive change
Build, test and deploy optimization, forecasting/prediction models to solve business and product needs, e.g. pricing optimization, churn prediction, customer segmentation, building adaptive engines

Requirements
Professional degree in a quantitative discipline (e.g., Statistics, Computer Science, Mathematics, Data Science) or equivalent practical experience.
3 -7 years of work experience in data analysis related field and in-depth knowledge of advanced analytical methods
Should be able to work independently, select the right tools, algorithm and technology for the problem at hand
Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL)
Applied experience with machine learning on large datasets; experience with building and deploying predictive models
Excellent verbal and written communication skills (including presentation skills)

Culture at SplashLearn
At SplashLearn, we dig individuality. We love people who have something to say, and we listen. With us, you will get a chance to weave a little bit of you in our suite of learning products that are being used by millions of users. We have a workplace that is perennially high on energy. You can find people deeply engrossed in conversations that range from the latest movie to the newest tech on the block, and you will also see people who don’t want to have anything to do with that and are quietly typing away on their machines.",,
8,Data Scientist: Advanced Analytics,IBM,"Bengaluru, Karnataka, India",,4 days ago,Full-time,"10,001+ employees · Information Technology & Services",2 connections · 1 company alumni · 38 school alumni,"About the job
Introduction

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Work with IBM Q Start team on active exploratory research engagements to prepare for future use case commercialization within specific industry
Engage and educate client data science teams to define promising areas for quantum exploration
Implement quantum approaches, which includes data pre-/post-processing, running numerics and visualizing data
Collaborate with industry and solutioning experts to design and shape experiments to demonstrate quantum-enabled advantage
Define best practices related to information architecture, including collection, integration, organization, analysis and visualization of data for quantum-enabled impact
Engage in practice development initiatives focused on building employee knowledge and skills in specific areas of expertise through coaching and development of training course material

Required Technical and Professional Expertise

PhD/Masters in STEM-related fields with knowledge in Quantum Computing.
5+ years of data engineering and data science experience
2+ years of consulting experience within specific industries with strong domain expertise and business acumen
Proficiency with classical approaches to machine learning and linear algebra, including Support Vector Machine (SVM) for linear categorization and Singular Value Decomposition (SVD) to reduce dimensionality of data
Familiar with Qiskit software, including Qiskit Aqua for domain applications and Qiskit Terra for quantum circuit design and optimization
Excellent ideation, facilitation and communications skills
Detail-oriented team player with strong interpersonal skills and ability to take a leadership role when necessary
Willingness to travel globally up to 40% once we return to a travel-safe environment.
English: Fluent

Preferred Technical And Professional Expertise

2+ years of experience in at least one of the industries, with knowledge of industry trends, R&D areas, and computationally intensive processes (e.g. optimization)
Familiarity with Qiskit

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM

What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",,
9,Data Scientist,PlaySimple Games,"Bengaluru, Karnataka, India",,,Full-time · Mid-Senior level,201-500 employees · Entertainment,See recent hiring trends for PlaySimple Games. Try Premium for free,"About the job
We’re looking for Data Scientists to join our Central Analytics team. It’s a fast-paced, high-adrenaline job, with plenty to learn. If you enjoy crunching numbers, are never satisfied with the products around you, and have always wanted to make things better than the best, you’ll love this job.
 What’s required of you
●    You will work closely with product leaders as a data-driven advisor and partner on strategic issues.
●    Will work collaboratively with game teams to deliver actionable insights into our games to further increase user acquisition, engagement and monetization.
●    Will proactively perform a wide range of analyses to identify trends, issues, and opportunities across games help us continue to improve gameplay.
●    Will answer business-related questions through exploratory data analyses and ad-hoc reporting.
 Qualifications and Skills Required
●    B.Tech/M.Tech/PhD in Computer Science/Statistics with demonstrated experience in ML/Statistics
●    Hands on experience in Python/Spark for data crunching, data visualization and machine learning.
●    SQL skills: Experience querying large, complex datasets from a data lake/warehouse.
●    Ability   to   execute   research   projects,  and   generate   practical results  and recommendations.
●    The candidate should enjoy both working with people and undertaking rigorous statistical analyses.
●    Knowledge of Deep Learning is highly desirable",,
